,author id,created_at,geo,tweet_id,lang,like_count,quote_count,reply_count,retweet_count,source
0,787016409603776513,2021-01-30 21:29:36+00:00, ,1355629259432357888,it,0,0,0,6,Twitter for Android
1,787016409603776513,2021-01-30 21:29:26+00:00, ,1355629216268775426,it,0,0,0,4,Twitter for Android
2,540278920,2021-01-30 16:49:06+00:00, ,1355558671447683078,it,0,0,0,0,Twitter for Android
3,1377704858,2021-01-30 13:35:29+00:00, ,1355509943797952512,it,0,0,0,5,startzai rt
4,1103659446,2021-01-30 13:31:29+00:00, ,1355508936871448578,it,0,0,0,5,Twitter Web App
5,1276243303235760129,2021-01-30 13:18:19+00:00, ,1355505622192689153,it,0,0,0,7,Twitter for Android
6,2333786184,2021-01-30 08:01:47+00:00, ,1355425964801581056,it,0,0,0,7,Twitter for iPhone
7,472000716,2021-01-29 17:18:41+00:00, ,1355203726819160068,it,1,0,0,0,Twitter Web App
8,408487541,2021-01-29 16:09:42+00:00, ,1355186367484059651,it,0,0,0,8,Twitter Web App
9,461137244,2021-01-29 15:04:27+00:00, ,1355169946624548864,it,0,0,0,4,Twitter Web App
10,4845878254,2021-01-29 14:35:58+00:00, ,1355162779477549062,it,0,0,0,4,Twitter Web App
11,2201240942,2021-01-29 14:19:55+00:00, ,1355158739461033984,it,0,0,0,8,Twitter Web App
12,993080715116937216,2021-01-29 13:53:09+00:00, ,1355152001609433089,it,0,0,0,7,Twitter for Android
13,1878651816,2021-01-29 13:33:10+00:00, ,1355146974308290563,it,0,0,0,7,Twitter for iPhone
14,1236508776544587776,2021-01-29 13:31:32+00:00, ,1355146563698487297,it,0,0,0,7,Twitter for Android
15,993080715116937216,2021-01-29 13:29:04+00:00, ,1355145940454301696,it,0,0,0,5,Twitter for Android
16,436668777,2021-01-29 12:15:00+00:00, ,1355127301361463297,it,1,0,0,0,Twitter Media Studio
17,1878651816,2021-01-29 11:59:24+00:00, ,1355123377669865472,it,0,0,0,5,Twitter for iPhone
18,307976751,2021-01-29 11:41:26+00:00, ,1355118853194473473,it,0,0,0,0,Twitter Web App
19,474759809,2021-01-29 10:49:56+00:00, ,1355105896184098817,it,0,0,0,0,Twitter Web App
20,1228248539102404608,2021-01-29 10:28:17+00:00, ,1355100445946097665,it,1,0,0,1,Twitter Web App
21,960666673,2021-01-29 10:23:21+00:00, ,1355099203928780806,it,0,0,0,0,Twitter for iPhone
22,1349793630937092102,2021-01-29 10:20:07+00:00, ,1355098388790960131,it,0,0,0,6,TweetDeck
23,54843801,2021-01-29 10:10:00+00:00, ,1355095846744940545,it,0,0,0,6,Twitter Web App
24,1878651816,2021-01-29 10:05:22+00:00, ,1355094678710984704,it,0,0,0,6,Twitter for iPhone
25,2806208458,2021-01-29 09:46:50+00:00, ,1355090015802548229,it,0,0,0,2,Twitter Web App
26,537133786,2021-01-29 09:27:46+00:00, ,1355085217829150721,it,1,0,0,0,Twitter Web App
27,2491206541,2021-01-29 05:06:57+00:00, ,1355019578871578629,it,0,0,0,2,Twitter Web App
28,3220813601,2021-01-28 23:07:50+00:00, ,1354929205319004163,it,0,0,0,0,Twitter for Android
29,515507237,2021-01-28 22:04:12+00:00, ,1354913191420190724,it,0,0,0,8,Twitter Web App
30,3129703389,2021-01-28 21:34:17+00:00, ,1354905660480225281,it,0,0,0,16,Twitter for iPhone
31,3378834843,2021-01-28 21:23:44+00:00, ,1354903008929337346,it,0,0,0,16,Twitter for Android
32,1448256410,2021-01-28 19:40:24+00:00, ,1354877001732141062,it,0,0,0,8,Twitter for Android
33,1878651816,2021-01-28 19:28:10+00:00, ,1354873925205946374,it,0,0,0,8,Twitter for iPhone
34,1615423225,2021-01-28 19:25:06+00:00, ,1354873152879386636,it,0,0,0,0,Hootsuite Inc.
35,465363518,2021-01-28 19:21:27+00:00, ,1354872234075189250,it,0,0,0,16,Twitter for iPhone
36,3370529356,2021-01-28 19:03:37+00:00, ,1354867744026603536,it,0,0,0,16,Twitter for Android
37,1260556285277331456,2021-01-28 17:52:26+00:00, ,1354849833362841600,it,0,0,0,0,Twitter Web App
38,993080715116937216,2021-01-28 17:44:41+00:00, ,1354847880838844417,it,0,0,0,8,Twitter for Android
39,1289191927276085251,2021-01-28 17:40:26+00:00, ,1354846813182955520,it,1,0,0,0,Twitter for Android
40,1236508776544587776,2021-01-28 16:25:39+00:00, ,1354827991537348612,it,0,0,0,16,Twitter for Android
41,2385290202,2021-01-28 15:46:58+00:00, ,1354818255211249673,it,0,0,0,7,Twitter for Android
42,50288725,2021-01-28 15:46:34+00:00, ,1354818154724167686,it,0,0,0,1,Twitter for Android
43,50288725,2021-01-28 15:46:11+00:00, ,1354818059991621639,it,0,0,0,3,Twitter for Android
44,416466936,2021-01-28 15:34:29+00:00, ,1354815116085084169,it,0,0,0,16,Twitter for Android
45,971601516,2021-01-28 15:26:18+00:00, ,1354813056841248774,it,0,0,0,1,TweetDeck
46,1203218166,2021-01-28 15:14:38+00:00, ,1354810120807477252,it,0,0,0,7,Twitter Web App
47,123979111,2021-01-28 14:56:39+00:00, ,1354805595090481157,it,3,0,0,1,Twitter for iPhone
48,2333786184,2021-01-28 14:47:04+00:00, ,1354803182082220034,it,0,0,0,5,Twitter for iPhone
49,1228248539102404608,2021-01-28 14:46:38+00:00, ,1354803073441427461,it,0,0,0,2,Twitter for iPhone
50,4845878254,2021-01-28 14:30:47+00:00, ,1354799083832004615,it,0,0,0,5,Twitter Web App
